序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1441,301201,诚达药业,38.05,0.87%,2.50%,6013.93万,4401.67万,1612.26万,1.04亿
1442,600817,宇通重工,11.66,0.87%,1.83%,5864.58万,5613.03万,251.55万,1.15亿
1443,002678,珠江钢琴,5.8,0.87%,2.53%,1.01亿,9525.78万,551.72万,2.00亿
1444,600051,宁波联合,8.12,0.87%,1.73%,2676.23万,1689.37万,986.86万,4365.60万
1445,688033,天宜新材,8.08,0.87%,2.02%,4706.42万,4418.44万,287.98万,9124.86万
1446,600590,泰豪科技,11.53,0.87%,9.59%,4.71亿,4.64亿,721.49万,9.35亿
1447,600379,宝光股份,12.74,0.87%,1.36%,3085.82万,2651.60万,434.22万,5737.42万
1448,300405,科隆股份,6.94,0.87%,5.40%,4034.44万,4158.13万,-123.69万,8192.56万
1449,300383,光环新网,15.03,0.87%,6.12%,8.59亿,7.80亿,7896.90万,16.38亿
1450,300369,绿盟科技,8.15,0.87%,3.29%,1.13亿,1.03亿,983.63万,2.17亿
1451,002406,远东传动,8.13,0.87%,2.21%,6129.18万,4675.31万,1453.87万,1.08亿
1452,301520,万邦医药,44.68,0.86%,4.02%,2534.99万,1504.98万,1030.01万,4039.97万
1453,301468,博盈特焊,65.99,0.86%,9.81%,2.59亿,2.32亿,2711.88万,4.91亿
1454,300056,中创环保,9.34,0.86%,3.65%,6435.17万,6637.19万,-202.02万,1.32亿
1455,600108,亚盛集团,3.51,0.86%,2.15%,8029.78万,6739.57万,1290.21万,1.48亿
1456,603839,安正时尚,8.2,0.86%,1.30%,2405.28万,1720.25万,685.03万,4125.54万
1457,600982,宁波能源,4.69,0.86%,1.25%,3407.70万,3146.81万,260.89万,6554.50万
1458,605398,新炬网络,30.35,0.86%,2.64%,6619.17万,6318.43万,300.74万,1.29亿
1459,600348,华阳股份,9.36,0.86%,1.02%,1.89亿,1.56亿,3345.84万,3.45亿
1460,301668,昊创瑞通,51.88,0.86%,4.95%,3444.90万,2489.59万,955.31万,5934.48万
1461,002672,东江环保,4.71,0.86%,0.56%,1426.48万,925.29万,501.19万,2381.67万
1462,002631,德尔未来,5.86,0.86%,1.35%,3485.88万,2661.49万,824.39万,6249.73万
1463,000807,云铝股份,31.76,0.86%,1.61%,9.21亿,8.62亿,5845.43万,17.89亿
1464,301563,云汉芯城,162.05,0.85%,6.16%,6407.94万,7478.04万,-1070.10万,1.39亿
1465,688021,奥福科技,23.8,0.85%,2.17%,2149.80万,1771.80万,377.99万,3921.61万
1466,301196,唯科科技,75.75,0.85%,2.99%,9952.89万,8725.89万,1227.00万,1.87亿
1467,603585,苏利股份,20.25,0.85%,2.13%,4295.89万,3656.42万,639.47万,7952.30万
1468,603032,德新科技,18.9,0.85%,1.46%,3312.03万,3062.55万,249.48万,6374.58万
1469,601799,星宇股份,149.94,0.85%,1.88%,4.01亿,4.03亿,-232.39万,8.04亿
1470,601311,骆驼股份,9.52,0.85%,1.30%,7799.43万,6714.59万,1084.84万,1.45亿
1471,600235,民丰特纸,7.1,0.85%,2.40%,3368.77万,2610.58万,758.19万,5979.35万
1472,600058,五矿发展,13.03,0.85%,1.92%,1.41亿,1.29亿,1253.37万,2.70亿
1473,002737,葵花药业,14.3,0.85%,0.77%,3258.26万,3170.08万,88.19万,6428.34万
1474,000899,赣能股份,10.63,0.85%,1.05%,6393.28万,4441.87万,1951.41万,1.09亿
1475,000682,东方电子,13.03,0.85%,1.65%,1.31亿,1.58亿,-2726.92万,2.90亿
1476,301359,东南电子,21.54,0.84%,1.95%,1607.33万,1270.12万,337.22万,2877.45万
1477,003008,开普检测,24.09,0.84%,2.82%,2761.36万,2532.70万,228.66万,5294.06万
